id;shop;total_subscriptions;total_orders;total_order_amount;first_time_orders;recurring_orders;total_customers
1;Borders;74081;18188;72116;10331;84720;49346
2;magenta SSL;66192;42386;70208;39338;61922;19999
3;grey;46503;93229;90892;98007;50881;51175
4;Berkshire;78634;18086;61122;6446;38325;28013
5;quantify;64573;63233;35600;1221;56087;68514
6;infomediaries Salad;76613;37740;45896;83856;62437;8816
7;Practical Plastic Cheese;1864;94881;11428;62895;55390;34399
8;Borders Designer teal;46988;38756;92879;76917;88012;57814
9;Group Fresh;27776;55748;68707;18221;12503;21388
10;grid-enabled;14820;40856;49708;45485;438;42931
