id;shop;custom_css;labels
1;user-facing Fantastic synthesize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;JSON Handmade Granite Hat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;Engineer Beauty Compatible;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;Implementation Concrete;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;client-server Bolivar Fuerte incubate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;Forward e-services;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;Engineer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;Incredible Wooden Shirt lime clear-thinking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;heuristic optimize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;Books Distributed;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
