id;shop;filter_menu
1;web-enabled Granite;../fake-data/blob/hipster.txt
2;Refined Consultant;../fake-data/blob/hipster.txt
3;Awesome Concrete Pizza;../fake-data/blob/hipster.txt
4;Cliff multi-byte;../fake-data/blob/hipster.txt
5;Borders Saudi Riyal Director;../fake-data/blob/hipster.txt
6;Administrator;../fake-data/blob/hipster.txt
7;Consultant;../fake-data/blob/hipster.txt
8;Baby artificial intelligence French Guiana;../fake-data/blob/hipster.txt
9;Agent Principal;../fake-data/blob/hipster.txt
10;hard drive Route;../fake-data/blob/hipster.txt
