id;shop;dynamic_script
1;Marketing payment Licensed;../fake-data/blob/hipster.txt
2;wireless Zimbabwe;../fake-data/blob/hipster.txt
3;Cambridgeshire Plastic;../fake-data/blob/hipster.txt
4;Implemented capability interface;../fake-data/blob/hipster.txt
5;Accountability Checking Account e-business;../fake-data/blob/hipster.txt
6;Republic of Korea frame envisioneer;../fake-data/blob/hipster.txt
7;orchestrate;../fake-data/blob/hipster.txt
8;web services;../fake-data/blob/hipster.txt
9;Strategist Money Market Account;../fake-data/blob/hipster.txt
10;Steel Supervisor;../fake-data/blob/hipster.txt
