id;show_on_product_page;show_multiple_on_product_page;action_button_color;action_button_font_color;product_title_color;product_price_color;redirect_to;show_product_price;one_time_discount;show_discount_in_cart
1;true;false;focus group;fresh-thinking infrastructures;zero tolerance Metal synthesize;Operations Home dynamic;CHECKOUT;true;true;true
2;true;false;Product sticky withdrawal;Personal Loan Account Specialist Handmade Concrete Hat;payment Customizable Rubber;compressing;CART;true;false;true
3;true;false;microchip supply-chains;yellow auxiliary;Assistant;collaborative copy streamline;CHECKOUT;true;false;false
4;false;false;Handmade Frozen Soap;Right-sized quantify sensor;protocol Architect incentivize;navigate;CART;true;false;false
5;true;true;Coves Vision-oriented Way;overriding Automotive;Profit-focused Checking Account;Fresh;CART;true;false;false
6;true;false;azure secured line;Borders Gloves;Consultant index;Comoro Franc;CHECKOUT;true;false;false
7;false;true;New Leu Guyana Dollar;Square North Dakota Auto Loan Account;back up envisioneer;Bahamian Dollar Facilitator;CART;false;false;false
8;true;false;Iceland Engineer;Village array bandwidth;AI Peru tan;Fish Heights system;CHECKOUT;false;true;true
9;true;false;Incredible lavender Credit Card Account;De-engineered card Principal;Lead;Unbranded;CART;false;true;true
10;true;true;Handcrafted Multi-layered Accounts;Vietnam;e-commerce Iraqi Dinar compressing;cross-platform;CHECKOUT;false;true;true
