id;jhi_from;jhi_to;stored_on
1;fault-tolerant;Rubber;2020-01-22
2;Pizza plug-and-play;Intelligent infrastructures Unbranded;2020-01-23
3;Minnesota payment;secondary Health EXE;2020-01-22
4;Naira architect Georgia;EXE strategic;2020-01-23
5;framework;Congo Personal Loan Account invoice;2020-01-22
6;user-facing;Fantastic Rubber Keyboard synthesize Movies;2020-01-22
7;functionalities capacitor;Shoes SMS transparent;2020-01-22
8;Avon;parsing monitor;2020-01-22
9;Credit Card Account Functionality;parsing;2020-01-23
10;Louisiana Home;Rubber Hawaii Health;2020-01-22
