id;shop;retry_attempts;days_before_retrying;max_number_of_failures
1;Personal Loan Account;FOUR_ATTEMPTS;ELEVEN_DAYS;CANCEL_SUBSCRIPTION
2;Intelligent Granite Ball Liaison;NINE_ATTEMPTS;SEVEN_DAYS;SKIP_FAILED_ORDER
3;unleash;THIRTEEN_ATTEMPTS;TWO_DAYS;PAUSE_SUBSCRIPTION
4;capacitor leading-edge;FOUR_ATTEMPTS;TEN_DAYS;SKIP_FAILED_ORDER
5;maximize green;FIVE_ATTEMPTS;TWO_DAYS;PAUSE_SUBSCRIPTION
6;incremental Belize Dollar Checking Account;TWELVE_ATTEMPTS;FOUR_DAYS;SKIP_FAILED_ORDER
7;Cocos (Keeling) Islands calculate;THREE_ATTEMPTS;FOUR_DAYS;PAUSE_SUBSCRIPTION
8;back up Kuwaiti Dinar deposit;FIVE_ATTEMPTS;TWO_DAYS;SKIP_FAILED_ORDER
9;Proactive Innovative;ONE_ATTEMPT;EIGHT_DAYS;CANCEL_SUBSCRIPTION
10;payment Square Investor;FOURTEEN_ATTEMPTS;ELEVEN_DAYS;SKIP_FAILED_ORDER
