id;shop;source_product;destination_products
1;functionalities;turn-key;payment
2;Web Principal;deposit;Hat
3;Group;deposit Sports;programming
4;Unbranded Frozen Towels structure;Representative Generic;Small Cotton Chair virtual Electronics
5;application parse;Money Market Account Rue;hacking invoice
6;Qatari Rial;Wisconsin;optical
7;6th generation Incredible Cotton Pizza alliance;hacking Granite;Analyst B2C
8;deposit;Hryvnia tertiary;Pennsylvania Automated Human
9;Communications;Rand dot-com;relationships Ville Granite
10;payment;Assimilated Officer viral;TCP
