id;shop;shop_time_zone
1;red Taiwan turquoise;Chips Chips Music
2;compressing;Ball Niger
3;Secured Central Orchestrator;Car
4;web services Automotive Berkshire;Licensed Fresh Salad open-source
5;cross-platform;Clothing Awesome
6;program Human Operative;Bike Global
7;Rubber interface;Tactics SMTP
8;Small Frozen Shirt Investment Account analyzer;solid state
9;Investment Account calculate North Dakota;Communications European Monetary Unit (E.M.U.-6) Berkshire
10;programming strategize compress;purple Home Loan Account auxiliary
