id;shop;billing_attempt_id;status;billing_date;contract_id;attempt_count;attempt_time;graph_order_id;order_id;order_amount
1;XML;Fantastic Concrete Sausages;SUCCESS;2020-01-22T15:03:19;39797;59765;2020-01-22T18:58:05;expedite Rue;32896;56825
2;fuchsia Home Loan Account;Internal;FAILURE;2020-01-23T04:13:09;62931;69977;2020-01-22T23:58:16;North Dakota Central;96154;39131
3;infrastructure Visionary;Dynamic Chief Guarani;FAILURE;2020-01-23T01:52:44;31368;81109;2020-01-22T13:20:51;sticky methodical schemas;9744;73254
4;platforms multi-byte Borders;Soft platforms;PROGRESS;2020-01-22T14:30:41;34094;83374;2020-01-23T00:42:24;innovative;5192;17231
5;Shoes Representative back up;program Paradigm;FAILURE;2020-01-22T07:55:37;61170;11255;2020-01-23T03:36:05;Administrator Checking Account Small;81806;90285
6;New York Locks;Corner Applications;SUCCESS;2020-01-23T02:58:12;82789;48370;2020-01-22T11:26:20;Falkland Islands (Malvinas) Licensed Concrete Bacon port;92781;48423
7;Quality-focused calculating;Granite Coordinator;SUCCESS;2020-01-23T05:22:37;40405;69329;2020-01-22T22:55:35;Up-sized Pre-emptive multimedia;61612;56431
8;Kansas knowledge base;Mexican Peso Mexican Unidad de Inversion (UDI) Michigan Israel;PROGRESS;2020-01-22T14:51:39;56622;46362;2020-01-23T05:36:07;Swedish Krona synthesize interfaces;75533;38921
9;Samoa Automotive;Decentralized;SUCCESS;2020-01-23T02:26:53;65498;19164;2020-01-22T23:41:04;Licensed;35603;51168
10;Health;COM;PROGRESS;2020-01-23T02:29:37;56569;2901;2020-01-22T10:30:48;Haiti action-items Norwegian Krone;997;22430
