id;shop;product_id;ends_on_count;ends_on_interval
1;Generic Plastic Car compress;leverage Forward instruction set;81853;DAY
2;transitional Car;deposit;7184;DAY
3;Keyboard;Central Soft Vanuatu;45180;DAY
4;Savings Account Infrastructure tan;yellow Intelligent Cotton Computer;70179;WEEK
5;Liberian Dollar;XML Pines;29159;YEAR
6;Indiana;Route Borders;19767;MONTH
7;Parkway virtual Saudi Arabia;Personal Loan Account;99507;WEEK
8;Engineer;Bedfordshire;30739;MONTH
9;back up;Rhode Island monetize;23068;YEAR
10;Incredible Plastic Mouse Assistant Incredible;Down-sized navigating;16401;YEAR
