id;shop;custom_css
1;solid state Incredible;../fake-data/blob/hipster.txt
2;Borders;../fake-data/blob/hipster.txt
3;Unbranded Wooden Computer;../fake-data/blob/hipster.txt
4;AGP Versatile Interactions;../fake-data/blob/hipster.txt
5;deliverables;../fake-data/blob/hipster.txt
6;Reduced online;../fake-data/blob/hipster.txt
7;Leone;../fake-data/blob/hipster.txt
8;Forward Industrial challenge;../fake-data/blob/hipster.txt
9;XSS;../fake-data/blob/hipster.txt
10;encompassing gold;../fake-data/blob/hipster.txt
