id;shop;one_time_purchase_text;delivery_text;purchase_options_text
1;Fantastic Rapid Virtual;deposit;Advanced;invoice
2;generating intranet 1080p;Accounts deposit;redundant Clothing Plastic;synergistic Auto Loan Account Toys
3;SMTP structure grow;Savings Account Danish Krone;Borders;Re-engineered Manager programming
4;Investor Croatia;SAS cross-platform bandwidth;interface Upgradable;process improvement capacity Automotive
5;withdrawal Granite B2B;Mission Investment Account multi-byte;PCI;Fork Cotton
6;ivory bypass;Engineer Intranet Summit;reboot capacity;Books revolutionize Fantastic Wooden Salad
7;Well Fantastic;bluetooth Kentucky;logistical Syrian Arab Republic Chief;open-source Legacy
8;hard drive Kansas Computers;circuit optical;Manager National Plastic;orchestrate Branch
9;Usability;quantifying SAS;back-end;Utah
10;Facilitator Baby zero administration;Synergistic;Ergonomic Metal Salad;enable
