id;theme_name;theme_name_friendly;theme_store_id;add_to_cart_selector
1;Gloves Officer;synthesizing web services;22437;../fake-data/blob/hipster.txt
2;Rustic;executive;96494;../fake-data/blob/hipster.txt
3;Industrial copying;Group;43903;../fake-data/blob/hipster.txt
4;connecting synergistic;grow;34982;../fake-data/blob/hipster.txt
5;Clothing;Outdoors Sports Analyst;27308;../fake-data/blob/hipster.txt
6;moratorium SCSI transmitter;capacitor;10291;../fake-data/blob/hipster.txt
7;Facilitator copying out-of-the-box;Function-based Keys Ghana;18449;../fake-data/blob/hipster.txt
8;Lead;Optimization;17420;../fake-data/blob/hipster.txt
9;Legacy;Checking Account Home channels;1113;../fake-data/blob/hipster.txt
10;support Hat;Rubber synthesizing;24702;../fake-data/blob/hipster.txt
