id;shop;skip_setting_theme;theme_name;selected_selector
1;Paradigm 1080p;true;EXE Rustic Rubber Hat morph;../fake-data/blob/hipster.txt
2;hack Practical Soft Hat mobile;true;Sudanese Pound Creative ROI;../fake-data/blob/hipster.txt
3;array engage out-of-the-box;true;Passage Industrial Customer;../fake-data/blob/hipster.txt
4;Awesome Concrete Pizza Berkshire flexibility;true;Bahamas maroon out-of-the-box;../fake-data/blob/hipster.txt
5;SMTP;true;Avon;../fake-data/blob/hipster.txt
6;Guinea-Bissau Maine Engineer;true;Analyst Personal Loan Account Cotton;../fake-data/blob/hipster.txt
7;deposit quantify;true;Zambian Kwacha;../fake-data/blob/hipster.txt
8;West Virginia;true;Serbian Dinar Plastic clicks-and-mortar;../fake-data/blob/hipster.txt
9;silver Strategist Home Loan Account;true;Movies impactful Credit Card Account;../fake-data/blob/hipster.txt
10;back-end Brand deposit;true;world-class firewall interface;../fake-data/blob/hipster.txt
