id;shop;for_customers_with_tags;for_products_with_tags;action
1;Handmade Rubber Shirt;indexing back-end;Brunei Darussalam AGP Missouri;HIDE_PRODUCTS
2;Tunnel convergence generating;wireless Analyst Buckinghamshire;mindshare Shores;SHOW_PRICES
3;Personal Loan Account programming success;Usability Tools Burgs;Bahamian Dollar bus Investment Account;SHOW_PRODUCTS
4;Niue violet invoice;Ohio withdrawal front-end;Practical Concrete Gloves Factors;HIDE_PRICES
5;neutral;Applications;Synchronised Egyptian Pound Lead;SHOW_PRICES
6;neural;Soap;infrastructures focus group Uganda;SHOW_PRODUCTS
7;Concrete;Pizza;Ergonomic Concrete Pizza Ergonomic Fresh Fish;SHOW_PRODUCTS
8;India Books;Circle;compressing client-server;HIDE_PRODUCTS
9;Licensed Granite Tuna Bedfordshire wireless;bus Borders;EXE California;HIDE_PRODUCTS
10;Intelligent Plastic Sausages;compelling maroon;Bedfordshire iterate;HIDE_PRICES
