id;shop;product_id;variant_id;product_title;variant_title;sku
1;Hong Kong;93889;32003;Analyst;Ameliorated Soft;Licensed
2;Manager;59672;53381;Branding Solomon Islands Dollar Auto Loan Account;benchmark;Steel
3;invoice;32534;42057;Handmade;frictionless Tactics National;Profit-focused Response Handmade
4;bricks-and-clicks;54313;42383;deposit iterate;Customer;Credit Card Account
5;Car Incredible Andorra;15920;89720;generating calculate;invoice programming circuit;UAE Dirham Wyoming
6;Salad bus;85011;35106;synergies;maroon Vermont Practical Cotton Salad;cyan
7;initiatives Rustic Frozen Chips Maldives;58304;49472;Personal Loan Account Home Loan Account Missouri;Forks back-end;Forest Beauty
8;fuchsia redundant orchestrate;10945;62276;Regional;Ball override Shirt;engage
9;Macao Virtual Gloves;73162;95757;User-centric Buckinghamshire;Metal;virtual
10;Books National Strategist;55702;68424;Refined;bandwidth-monitored;Credit Card Account
